Respondent_code,Business_Category_(Asset):,Industry Type:,NoOfOperationDays,DailyUsageKW,Cooling&VentilationUsage,Entertainment&AudioEquipmentUsage,Industrial&ManufacturingEquipmentUsage,KitchenEquipmentUsage,Lightning&ElectricalFixtureUsage,Office&ITEquipmentUsage,OtherUsages,Refrigerator&StorageUsage,MonthlyUsageKW_Eqpt,EnergyIntensity,Number_of_Operation_hours,EnergyIntensityBand,UsageRangeBand,HourlyUsageKW
5,Micro,Food and beverages,7,0.025,0,0,0,0.0125,0.0125,0,0,0,0.75,0.011904762,9,Lowest,Very Low,0.1
6,Micro,Food and beverages,7,2.45,0,0,0,0,2.45,0,0,0,73.5,0.954545455,11,Lowest,Very Low,0.7
8,Micro,Retail,7,0.4,0,0,0,0.375,0.025,0,0,0,12,0.19047619,9,Lowest,Very Low,0.3
9,Micro,Services,6,15.95,4.875,0.1875,0,0,1.625,9.1,0,0.1625,410.1428571,7.595238095,9,Lowest,Very Low,2.55
11,Micro,Retail,6,22.375,0.4375,0,0,0,0.325,0.0125,0,21.6,575.3571429,7.376373626,13,Lowest,Very Low,2.6
14,Micro,Services,3,1.125,0.1875,0,0,0.1875,0.375,0.1875,0,0.1875,14.46428571,1.205357143,4,Lowest,Very Low,0.75
15,Micro,Retail,7,0.9,0.8125,0,0,0,0.0875,0,0,0,27,0.275510204,14,Lowest,Very Low,0.15
16,Micro,Services,6,20.4,3.25,0.0875,0,4.55,0.8125,0.9,0,10.8,524.5714286,8.742857143,10,Lowest,Very Low,2.65
17,Micro,Food and beverages,7,0.2625,0.0875,0,0,0,0.175,0,0,0,7.875,0.053571429,21,Lowest,Very Low,0.075
18,Micro,Food and beverages,7,1.8,0,0,0,0,1.125,0,0,0.675,54,3.857142857,2,Lowest,Very Low,0.2
20,Micro,Retail,6,22.375,0.4375,0,0,0,0.325,0.0125,0,21.6,575.3571429,10.6547619,9,Lowest,Very Low,2.6
22,Micro,Retail,7,2.275,0.2625,0.4375,0,0,0.2625,0.4375,0,0.875,68.25,0.696428571,14,Lowest,Very Low,0.65
25,Micro,Food and beverages,7,1.8,0,0,0,0,1.125,0,0,0.675,54,1.102040816,7,Lowest,Very Low,0.2
29,Micro,Food and beverages,7,0.025,0,0,0,0.0125,0.0125,0,0,0,0.75,0.010714286,10,Lowest,Very Low,0.1
31,Micro,Retail,6,1.7,0.4375,0,0,0.025,0.0125,0,0,1.225,43.71428571,0.80952381,9,Lowest,Very Low,0.55
32,Micro,Retail,7,70.35,3.6,2.625,0,3,39,0.525,0,21.6,2110.5,33.5,9,Moderate,Very Low,17.9
34,Micro,Retail,6,1.7,0.4375,0,0,0.025,0.0125,0,0,1.225,43.71428571,0.80952381,9,Lowest,Very Low,0.55
36,Micro,Retail,6,0.0375,0,0,0,0,0.0375,0,0,0,0.964285714,0.01461039,11,Lowest,Very Low,0.025
37,Micro,Retail,7,11.4625,0.4375,0,0,0,0.0375,0.1875,0,10.8,343.875,3.275,15,Lowest,Very Low,1.475
40,Micro,Retail,7,78.525,9.45,2.25,0,0,3.375,20.25,0,43.2,2355.75,25.88736264,13,Moderate,Very Low,8.725
42,Micro,Retail,7,0.9,0.8125,0,0,0,0.0875,0,0,0,27,0.275510204,14,Lowest,Very Low,0.15
50,Micro,Food and beverages,7,0.2625,0.0875,0,0,0,0.175,0,0,0,7.875,0.225,5,Lowest,Very Low,0.075
51,Micro,Food and beverages,7,42.25,9.75,0.1625,0,23.4,0.325,0.8125,0,7.8,1267.5,20.11904762,9,Moderate,Very Low,6.5
