Respondent_code,Business_Category_(Asset):,Industry Type:,NoOfOperationDays,DailyUsageKW,Cooling&VentilationUsage,Entertainment&AudioEquipmentUsage,Industrial&ManufacturingEquipmentUsage,KitchenEquipmentUsage,Lightning&ElectricalFixtureUsage,Office&ITEquipmentUsage,OtherUsages,Refrigerator&StorageUsage,MonthlyUsageKW_Eqpt,EnergyIntensity,Number_of_Operation_hours,EnergyIntensityBand,UsageRangeBand,HourlyUsageKW,Recommended PV Setup
10,Micro,Food and beverages,6,0.225,0.0375,0.0375,0,0.0375,0.0375,0.0375,0,0.0375,5.785714286,0.120535714,8,Lowest,Very Low,0.2,1 kW
19,Micro,Food and beverages,6,0.225,0.0375,0.0375,0,0.0375,0.0375,0.0375,0,0.0375,5.785714286,0.107142857,9,Lowest,Very Low,0.2,1 kW
17,Micro,Food and beverages,7,0.2625,0.0875,0,0,0,0.175,0,0,0,7.875,0.053571429,21,Lowest,Very Low,0.075,1 kW
50,Micro,Food and beverages,7,0.2625,0.0875,0,0,0,0.175,0,0,0,7.875,0.225,5,Lowest,Very Low,0.075,1 kW
56,Micro,Food and beverages,7,0.2625,0.0875,0,0,0,0.175,0,0,0,7.875,0.125,9,Lowest,Very Low,0.075,1 kW
102,Micro,Food and beverages,7,0.2625,0,0,0,0.0875,0.175,0,0,0,7.875,0.225,5,Lowest,Very Low,0.075,1 kW
112,Micro,Food and beverages,7,0.2625,0,0,0,0.0875,0.175,0,0,0,7.875,0.225,5,Lowest,Very Low,0.075,1 kW
115,Micro,Food and beverages,7,0.2625,0,0,0,0.0875,0.175,0,0,0,7.875,0.225,5,Lowest,Very Low,0.075,1 kW
23,Micro,Manufacturing,5,0.2625,0.075,0,0.075,0,0.075,0,0,0.0375,5.625,0.125,9,Lowest,Very Low,0.175,1 kW
74,Micro,Manufacturing,5,0.2625,0.075,0,0.075,0,0.075,0,0,0.0375,5.625,0.125,9,Lowest,Very Low,0.175,1 kW
103,Micro,Manufacturing,5,0.2625,0.075,0,0.075,0,0.075,0,0,0.0375,5.625,0.125,9,Lowest,Very Low,0.175,1 kW
8,Micro,Retail,7,0.4,0,0,0,0.375,0.025,0,0,0,12,0.19047619,9,Lowest,Very Low,0.3,1 kW
69,Micro,Retail,7,0.4,0,0,0,0.375,0.025,0,0,0,12,0.114285714,15,Lowest,Very Low,0.3,1 kW
120,Micro,Retail,7,0.4,0,0,0,0.375,0.025,0,0,0,12,0.114285714,15,Lowest,Very Low,0.3,1 kW
4,Micro,Food and beverages,7,0.5,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,15,1.071428571,2,Lowest,Very Low,1,1 kW
86,Small,Food and beverages,7,0.5,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,15,0.428571429,5,Lowest,Very Low,1,1 kW
94,Small,Food and beverages,7,0.6125,0.0375,0,0,0.0125,0.375,0,0,0.1875,18.375,0.175,15,Lowest,Very Low,0.425,1 kW
35,Micro,Retail,7,0.7,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,21,0.333333333,9,Lowest,Very Low,0.2,1 kW
77,Micro,Retail,3,0.7,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,9,0.75,4,Lowest,Very Low,0.2,1 kW
114,Micro,Retail,6,0.7,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,18,0.333333333,9,Lowest,Very Low,0.2,1 kW
101,Micro,Food and beverages,5,0.775,0.0375,0,0,0.175,0.0375,0,0,0.525,16.60714286,0.369047619,9,Lowest,Very Low,0.75,1 kW
57,Micro,Food and beverages,5,0.775,0.0375,0,0,0.175,0.0375,0,0,0.525,16.60714286,0.369047619,9,Lowest,Very Low,0.75,1 kW
75,Micro,Food and beverages,5,0.775,0.0375,0,0,0.175,0.0375,0,0,0.525,16.60714286,0.369047619,9,Lowest,Very Low,0.75,1 kW
12,Small,Manufacturing,6,0.8,0.125,0.175,0.0625,0.0625,0.125,0.125,0.0625,0.0625,20.57142857,0.685714286,5,Lowest,Very Low,1.6,1 kW
53,Micro,Manufacturing,7,0.8125,0,0,0,0.4875,0,0,0,0.325,24.375,0.386904762,9,Lowest,Very Low,0.125,1 kW
59,Micro,Manufacturing,3,0.8125,0,0,0,0.4875,0,0,0,0.325,10.44642857,0.386904762,9,Lowest,Very Low,0.125,1 kW
61,Micro,Manufacturing,3,0.8125,0,0,0,0.4875,0,0,0,0.325,10.44642857,0.386904762,9,Lowest,Very Low,0.125,1 kW
15,Micro,Retail,7,0.9,0.8125,0,0,0,0.0875,0,0,0,27,0.275510204,14,Lowest,Very Low,0.15,1 kW
42,Micro,Retail,7,0.9,0.8125,0,0,0,0.0875,0,0,0,27,0.275510204,14,Lowest,Very Low,0.15,1 kW
80,Micro,Retail,7,0.9,0.8125,0,0,0,0.0875,0,0,0,27,0.275510204,14,Lowest,Very Low,0.15,1 kW
87,Micro,Retail,7,0.9,0.8125,0,0,0,0.0875,0,0,0,27,0.275510204,14,Lowest,Very Low,0.15,1 kW
121,Micro,Retail,7,0.9,0.8125,0,0,0,0.0875,0,0,0,27,0.275510204,14,Lowest,Very Low,0.15,1 kW
