Respondent code,Industry Type:,Business Category, Switching to LED Lightning, Implementing Power Management Settings, Regular Maintenance of Equipment, Using Energy-Efficient Appliances, Optimizing HVAC Systems, Adopting Renewable Energy Sources, Implementing Energy Monitoring Systems, Encouraging Behavioral Changes, Upgrading to High-Efficiency Motors and Drives
1,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
2,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable
3,Retail,Micro,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
4,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
5,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
6,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
7,Food and beverages ,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
8,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
9,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
10,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
11,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
12,Manufacturing,Small,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable
13,Retail,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
14,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
15,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
16,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Not Applicable
17,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
18,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
19,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
20,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
21,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
22,Retail,Micro,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
23,Manufacturing,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
24,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
25,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
