Respondent_code,Business_Category,Industry Type,NoOfOperationDays,Number_of_Operation_hours,MonthlyUsageKW_Eqpt,Business_Operation_(Day)],Mon,DailyUsageKW],Tue,Wed,Thu,Fri,Sat,Sun
2,Micro,Retail,7,9,1335.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",44.525,44.525,44.525,44.525,44.525,44.525,44.525,44.525
5,Micro,Food and beverages,7,9,0.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
6,Micro,Food and beverages,7,11,73.5,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
8,Micro,Retail,7,9,12,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
15,Micro,Retail,7,14,27,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
17,Micro,Food and beverages,7,21,7.875,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625
18,Micro,Food and beverages,7,2,54,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
22,Micro,Retail,7,14,68.25,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2.275,2.275,2.275,2.275,2.275,2.275,2.275,2.275
25,Micro,Food and beverages,7,7,54,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
29,Micro,Food and beverages,7,10,0.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
32,Micro,Retail,7,9,2110.5,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",70.35,70.35,70.35,70.35,70.35,70.35,70.35,70.35
37,Micro,Retail,7,15,343.875,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11.4625,11.4625,11.4625,11.4625,11.4625,11.4625,11.4625,11.4625
40,Micro,Retail,7,13,2355.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",78.525,78.525,78.525,78.525,78.525,78.525,78.525,78.525
42,Micro,Retail,7,14,27,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
50,Micro,Food and beverages,7,5,7.875,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625
51,Micro,Food and beverages,7,9,1267.5,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",42.25,42.25,42.25,42.25,42.25,42.25,42.25,42.25
53,Micro,Manufacturing,7,9,24.375,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125
55,Micro,Retail,7,13,178.875,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",5.9625,5.9625,5.9625,5.9625,5.9625,5.9625,5.9625,5.9625
56,Micro,Food and beverages,7,9,7.875,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625
58,Micro,Retail,7,9,75.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2.525,2.525,2.525,2.525,2.525,2.525,2.525,2.525
60,Micro,Services,7,9,177.375,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",5.9125,5.9125,5.9125,5.9125,5.9125,5.9125,5.9125,5.9125
62,Micro,Food and beverages,7,5,73.5,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
67,Micro,Retail,7,13,2355.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",78.525,78.525,78.525,78.525,78.525,78.525,78.525,78.525
68,Micro,Retail,7,13,2355.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",78.525,78.525,78.525,78.525,78.525,78.525,78.525,78.525
